Project Name,Address,Zip Code,Total Units ,Total Affordable Units,Unit Type,Housing Type,Status,1 Person Household ,2 Person Household,3 Person Household ,4 Person Household,5 Person Household ,Property Management Company,Phone ,Website ,Longitude,Latitude.,Location
Burnet Flats,5453 Burnet Road,78756,103,10,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-280-0332,https://www.greystar.com/properties/austin-tx/burnet-flats-luxury-apartments?sc_lang=en,-97.7395692871635,30.3301222027644,"(30.3301222027644, -97.7395692871635)"
1804 Martin Luther King Jr Boulevard,1804 Martin Luther King Jr Boulevard,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/,-97.72184557843,30.2800249156769,"(30.2800249156769, -97.72184557843)"
Regents at 24th,2401 San Gabriel Street,78705,93,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,CWS,512-592-5015,https://www.cwsapartments.com/apartments/tx/austin/regents-west-at-24th/,-97.7474561212131,30.2884212444376,"(30.2884212444376, -97.7474561212131)"
Texan Tower,2505 San Gabriel Street,78705,74,7,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texantower.com/,-97.7473990250448,30.2901088028752,"(30.2901088028752, -97.7473990250448)"
FLORA Apartments,5406 Middle Fiskville Road,78751,194,19,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,512-323-5672,https://www.floraaustin.com/,-97.714957,30.316671,"(30.316671, -97.714957)"
ThinkEast Apartments,1143 Shady Lane,78721,182,182,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Atlantic Pacific Management,512-386-5711,https://www.thinkeastapartments.com/,-97.690776,30.2626,"(30.2626, -97.690776)"
South Shore Disctrict Apartments (South Shore PUD),1333 Shore District Drive,78741,500,13,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Grayco Partners,512-710-0242,http://www.southshoredistrict.com/,-97.727183,30.243505,"(30.243505, -97.727183)"
1100 E 10th Street,1100 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7293401878146,30.2684390683833,"(30.2684390683833, -97.7293401878146)"
Radius on Grove,2301 Grove Boulevard,78741,160,64,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Pegasus Residential,512-357-3936,http://www.pegasusresidential.com/radius-on-grove-austin-tx,-97.708361,30.223744,"(30.223744, -97.708361)"
Aspen West Campus,1909 Rio Grande Street,78705,464,48,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Aspen Heights,855-208-5244,https://www.myaspenheights.com/our-locations/austin/,-97.744783,30.283589,"(30.283589, -97.744783)"
Skyline Terrace,1212 W Ben White Boulevard,78704,100,100,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-440-0300,http://foundcom.org/housing/our-austin-communities/skyline-terrace/,-97.7781781202652,30.2282361267838,"(30.2282361267838, -97.7781781202652)"
Ruth R. Schulze House,915 W 22nd Street,78705,26,8,Multifamily,Student Housing,Building Permit Issued,30100,24400,38700,43000,46450,,,,-97.7479089606178,30.2852399837824,"(30.2852399837824, -97.7479089606178)"
2320 Santa Rita Street,2320 Santa Rita Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7172654651854,30.2570698735729,"(30.2570698735729, -97.7172654651854)"
10th Street Alley Flat,1817 W 10th Street,78703,1,1,ADU,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Clarksville Community Development Corporation,512-323-6762,http://www.clarksvillecdc.org,-97.7651195970221,30.2813340253543,"(30.2813340253543, -97.7651195970221)"
Pecan Springs Commons,2907 Sweeney Lane,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6788623309976,30.3057379612672,"(30.3057379612672, -97.6788623309976)"
SAMdorosa,6700 Manchaca Road,78745,14,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,SAMdorosa Communities,512-653-6287,http://b-austin.com/,-97.8068695422754,30.2063876421874,"(30.2063876421874, -97.8068695422754)"
Saint Louise House II,2104 Berkett Drive,78745,22,22,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Saint Louise House,512-326-2774,http://saintlouisehouse.org/,-97.8039314961919,30.2109363836519,"(30.2109363836519, -97.8039314961919)"
Housing First Oak Springs,3000 Oak Springs Drive,78702,50,50,Multifamily,Transitional Housing,Building Permit Issued,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3526,http://housingfirstatx.org/,-97.7005660266436,30.2735221853269,"(30.2735221853269, -97.7005660266436)"
Guadalupe Saldana - Duplex,1208 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703096,30.269601,"(30.269601, -97.703096)"
4810 West Wind Trail,4810 West Wind Trail,78745,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.8029965848418,30.2279505045048,"(30.2279505045048, -97.8029965848418)"
SYNC at Mueller,4646 Mueller Boulevard,78723,301,30,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Sync Residential,512-354-8431,https://www.syncatmueller.com/,-97.707066,30.299166,"(30.299166, -97.707066)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.7934265318501,30.1986408937312,"(30.1986408937312, -97.7934265318501)"
700 E 11th Street,700 E 11th Street,78701,276,4,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.733918,30.271082,"(30.271082, -97.733918)"
The Nine at Austin,2518 Leon Street,78705,98,10,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,Spaces Management,737-777-8016,http://theninewestcampus.com/,-97.749342,30.290996,"(30.290996, -97.749342)"
Heritage Heights,1622 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723201,30.266259,"(30.266259, -97.723201)"
Heritage Heights,1608 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724707,30.265298,"(30.265298, -97.724707)"
Woolridge Hall,2400 Nueces Street,78705,304,31,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,EDR Trust,512-651-1139,http://www.2400nuecesapartments.com/,-97.7434383723285,30.2882157993576,"(30.2882157993576, -97.7434383723285)"
Pecan Springs Commons,5800 Sweeney Circle,78723,46,46,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.679951265009,30.3049271405972,"(30.3049271405972, -97.679951265009)"
Pecan Springs Commons,5809 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6790763842193,30.3053600903234,"(30.3053600903234, -97.6790763842193)"
Quarters at Nueces House,2300 Nueces Street,78705,232,23,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com/nueces.html,-97.7439044793423,30.2867917657679,"(30.2867917657679, -97.7439044793423)"
St Johns West Apartments,601 W St Johns Avenue,78752,297,30,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.714785,30.337701,"(30.337701, -97.714785)"
Fort Branch Landing,5841 Techni Center Drive,78721,250,250,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-607-5459,http://www.livefortbranchattrumanslanding.com/,-97.66646716561,30.2777203215007,"(30.2777203215007, -97.66646716561)"
Ellora Apartments,908 W 21st Street,78705,23,2,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Ana Santos,512-808-7292,https://www.westcampuselloras.com/,-97.7474658943748,30.2849807633777,"(30.2849807633777, -97.7474658943748)"
Walnut Creek Apartments,6409 Springdale Rd,78723,98,98,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.668769,30.30718,"(30.30718, -97.668769)"
Austin Travis County MHMR,403 E 15th Street,78721,24,24,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Austin Travis County Integral Care,512-804-3526,http://www.integralcare.org/en/home/,-97.7357455695742,30.2755988306276,"(30.2755988306276, -97.7357455695742)"
AMLI 5350,5350 Burnet Road,78756,174,17,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,844-536-9577,https://www.amli.com/apartments/austin/central-austin/austin/5350,-97.7404500075392,30.3275821884508,"(30.3275821884508, -97.7404500075392)"
Heritage Heights,1604 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724337,30.266652,"(30.266652, -97.724337)"
Garden Terrace Phase I,1015 W William Cannon Drive,78745,85,85,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.7934265318501,30.1986408937312,"(30.1986408937312, -97.7934265318501)"
Karnes House (fka University Garden Apartments),2222 Rio Grande Street,78705,12,1,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-531-0123,http://quartersoncampus2.businesscatalyst.com,-97.7450112172395,30.2868533633147,"(30.2868533633147, -97.7450112172395)"
Skyloft,507 W 23rd Street,78705,674,68,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Campus Advantage,737-207-9400,http://www.campusadv.com/portfolio/skyloft-austin/,-97.743507,30.286358,"(30.286358, -97.743507)"
7EAST,2025 E 7th Street,78702,177,18,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-476-2025,https://www.greystar.com/properties/austin-tx/7east-apartments?sc_lang=en,-97.7194720175522,30.2615670180304,"(30.2615670180304, -97.7194720175522)"
702 Plumpton Drive,702 Plumpton Drive,78745,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7908219142665,30.1950468158668,"(30.1950468158668, -97.7908219142665)"
Franklin Gardens,3522 E Martin Luther King Jr Boulevard,78723,22,22,Multifamily,Senior Housing,Project Completed,30100,24400,38700,43000,46450,PRAK Property Management,512-524-0547,http://www.prakpropertymanagement.com/franklin-gardens.html,-97.6972033990871,30.2841327389135,"(30.2841327389135, -97.6972033990871)"
Villas on Sixth,2011 E 6th Street,78702,160,136,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guardian Management,512-314-5483,https://www.villasonsixthapts.com/,-97.720192,30.260722,"(30.260722, -97.720192)"
Heritage Heights,1603 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724708,30.266283,"(30.266283, -97.724708)"
2110 Salina Street,2110 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7230348223138,30.2823649447706,"(30.2823649447706, -97.7230348223138)"
Lakeside Engineering - Duplexes,1125 Walton Lane,78721,4,2,Duplex,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.687285,30.259463,"(30.259463, -97.687285)"
The Heights on South Congress (fka South Congress Village),2703 S Congress Avenue,78704,172,172,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,UAH Property Management,512-441-1437,https://www.heightsoncongress.com/,-97.756111,30.235242,"(30.235242, -97.756111)"
Guadalupe Neighborhood Development Corporation - SF,809 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.7328349875381,30.2680726015791,"(30.2680726015791, -97.7328349875381)"
Pathways at Goodrich Place,2126 Goodrich Avenue,78704,120,110,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-447-0967,https://www.hacanet.org/location/goodrich-place/,-97.773865,30.248315,"(30.248315, -97.773865)"
5611 Teri Road,5611 Teri Road,78744,3,3,Single Family,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7338198423955,30.1927525514336,"(30.1927525514336, -97.7338198423955)"
Elm Ridge Apartments,1161 Harvey Street,78702,130,130,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,LEDIC Realty Company,512-473-8955,http://www.elmridgeapartments.com/,-97.7024194499343,30.2748895873048,"(30.2748895873048, -97.7024194499343)"
809 San Marcos Street,809 San Marcos Street,78702,1,1,Duplex,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.731151025874,30.2672160595881,"(30.2672160595881, -97.731151025874)"
2113 Salina Street,2113 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.7226241091127,30.2825351864182,"(30.2825351864182, -97.7226241091127)"
AHFC - SF,7212 Providence Avenue,78752,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.696935,30.330556,"(30.330556, -97.696935)"
Block on 28th,701 W 28th Street,78705,100,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7446332063935,30.2932773608244,"(30.2932773608244, -97.7446332063935)"
1905 E 9th Street,1905 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackshear Neighborhood Development Corportation,512-476-2222,,-97.7210012928342,30.2639181308329,"(30.2639181308329, -97.7210012928342)"
Guadalupe Saldana - Duplex,1212 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703051,30.269697,"(30.269697, -97.703051)"
Texan North Campus (fka Uptown Lofts),5117 N Lamar Boulevard,78751,23,2,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-553-5287,http://www.texanproperties.net/tnc/,-97.7301366977258,30.3193518296524,"(30.3193518296524, -97.7301366977258)"
SOL,5929 Lux Street,78721,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.684129443253,30.2586304687906,"(30.2586304687906, -97.684129443253)"
Grand Marc at 26th,510 W 26th Street,78705,138,14,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Peak Campus,512-501-3461,https://www.grandmarcaustin.com/grandmarc-austin-austin-tx/,-97.7425713474858,30.2909986770952,"(30.2909986770952, -97.7425713474858)"
Gibson Flats,1219 S Lamar Boulevard,78704,95,10,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-326-9000,https://www.greystar.com/properties/austin-tx/gibson-flats-apartments,-97.7622667885446,30.2540894703905,"(30.2540894703905, -97.7622667885446)"
Crest at Pearl,706 Martin Luther King Jr Bouelvard,78705,141,28,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl,-97.746183194574,30.2832964183937,"(30.2832964183937, -97.746183194574)"
Trails at Vintage Creek (fka Village Green Apartments),7224 Northeast Drive,78723,200,180,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-929-9161,http://foundcom.org/housing/our-austin-communities/trails-at-the-vintage-creek-apartments/,-97.6800899933422,30.3216138528759,"(30.3216138528759, -97.6800899933422)"
Garden Terrace Phase III,1015 W William Cannon Drive,78745,20,20,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.792919,30.198406,"(30.198406, -97.792919)"
Accessible Housing Austin! - SF,9407 Kempler Drive,78748,2,2,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.822205,30.178196,"(30.178196, -97.822205)"
110 Chicon Street,110 Chicon Street,78702,2,2,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7245332918763,30.2579451814521,"(30.2579451814521, -97.7245332918763)"
5006 West Wind Trail,5006 West Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.80452,30.226519,"(30.226519, -97.80452)"
Spring Terrace Apartments,7101 N IH-35,78752,140,140,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-492-8980,http://foundcom.org/housing/our-austin-communities/spring-terrace/,-97.7031800065299,30.3314907138636,"(30.3314907138636, -97.7031800065299)"
Sierra Vista (fka Shady Oaks),4320 S Congress Avenue,78745,238,238,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-448-4884,http://foundcom.org/housing/our-austin-communities/sierra-vista-apartments/,-97.7671845964581,30.2190337978803,"(30.2190337978803, -97.7671845964581)"
Harris Ridge Apartments,1501 E Howard Lane,78754,324,324,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,NRP Group,844-678-8832,https://www.bridgeharrisridge.com/,-97.643651,30.406351,"(30.406351, -97.643651)"
Treaty Oaks,3700 Manchaca Road,78704,47,47,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.7843942141951,30.2365889139842,"(30.2365889139842, -97.7843942141951)"
Capital Studios,309 E 11th Street,78701,135,135,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-7977,http://foundcom.org/housing/our-austin-communities/capital-studios/,-97.7380857836883,30.2717521801568,"(30.2717521801568, -97.7380857836883)"
Heritage Heights,1609 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724708,30.265297,"(30.265297, -97.724708)"
GNDC Alley Flats,2808 Gonzales Street,78702,1,1,ADU,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.708853,30.260303,"(30.260303, -97.708853)"
Alexander Oaks Apartments,6119 Valiant Circle,78749,51,51,Duplex,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Housing Authority of Travis County,512-854-8245,http://www.hatctx.com/alexander-oaks/,-97.851947,30.233793,"(30.233793, -97.851947)"
Edgecreek Condos,12166 Metric Boulevard,78758,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.6978617266883,30.4067911937569,"(30.4067911937569, -97.6978617266883)"
Quarters at Montgomery,2700 Nueces Street,78705,88,9,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Quarters at Campus,512-310-7627,http://quartersoncampus2.businesscatalyst.com/,-97.7432066152494,30.2920704003102,"(30.2920704003102, -97.7432066152494)"
2502 Nueces Street,2502 Nueces Street,78705,46,5,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Cardinal Group,512-605-0040,https://www.ruckuslofts.com/,-97.743338,30.289642,"(30.289642, -97.743338)"
Retreat at North Bluff,6212 Crow Lane,78745,240,176,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Merge Management,512-445-0404,http://www.retreatatnorthbluff.com/,-97.7725329289596,30.2006761915042,"(30.2006761915042, -97.7725329289596)"
Palms at North Lamar,8600 N Lamar Boulevard,78753,476,215,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,TMG Management,512-837-5556,http://www.tmgpalms.com/,-97.704330445112,30.3546533088105,"(30.3546533088105, -97.704330445112)"
Mosaic at Mueller,4600 Mueller Boulevard,78723,441,44,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-474-5483,https://www.mosaicaustin.com/,-97.707922,30.298876,"(30.298876, -97.707922)"
ACDDC - Alley Flat,1406 Ruth Avenue,78757,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.728433,30.338875,"(30.338875, -97.728433)"
Block on 23rd,2222 Pearl Street,78705,99,10,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,http://www.theblockwestcampus.com/,-97.7467137347619,30.2870613453943,"(30.2870613453943, -97.7467137347619)"
Eastside Station (fka Saltillo Station),1700 E 4th Street,78702,332,51,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Matrix Residential,512-482-8002,http://eastsidestationapts.com/,-97.7251428867645,30.2608518241264,"(30.2608518241264, -97.7251428867645)"
Lucero Apartments (formerly Oak Creek Village),2324 Wilson Street,78704,173,173,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Dominium Management,512-538-1760,https://www.dominiumapartments.com/find-apartment/properties/texas/austin/lucero.html,-97.7562607979531,30.2422224737444,"(30.2422224737444, -97.7562607979531)"
Harris Branch Senior Apartments,12433 Dessau Road,78754,216,216,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,877-228-2573,https://harrisbranchseniors.com/,-97.6448819144268,30.3888065941242,"(30.3888065941242, -97.6448819144268)"
IBM 45 Multifamily-Flatiron Domain,10727 Domain Drive,78758,363,39,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Greystar,512-623-7527,https://flatirondomain.com/,-97.725581,30.393743,"(30.393743, -97.725581)"
Aldrich 51,2604 Aldrich Street,78723,240,216,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,DMA Companies,512-328-3232,https://aldrich51.com/,-97.701803,30.304204,"(30.304204, -97.701803)"
Heritage Heights,1627 E 11th Street,78723,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.722927,30.266657,"(30.266657, -97.722927)"
Wildflower Terrace,3801 Berkman Drive,78723,201,171,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,DMA Companies,512-843-3801,https://dmawildflower.com/,-97.6984403,30.2909045,"(30.2909045, -97.6984403)"
Heritage Heights,1602 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724932,30.265855,"(30.265855, -97.724932)"
Heights on Parmer Phase Two,1500 E Parmer Lane,78753,80,80,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Pedcor Management Company,512-717-9112,http://www.pedcormanagement.com/Home?ID=270,-97.650793,30.390823,"(30.390823, -97.650793)"
LifeWorks Transitional Living Project,3710 S 2nd Street,78704,12,12,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Lifeworks,512-735-2100,http://www.lifeworksaustin.org/housing/,-97.7710197443868,30.2298368209301,"(30.2298368209301, -97.7710197443868)"
Tricia & David Ciccocioppo (Homeowners) -Alley Flat,1608 Cedar Avenue,78702,1,1,ADU,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714054,30.278448,"(30.278448, -97.714054)"
Overture Mueller Apartments,4818 Berkman Drive,78723,201,30,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-942-0763,https://www.liveoverture.com/communities/austin-mueller/,-97.70043,30.3007,"(30.3007, -97.70043)"
1007 Waller Street,1007 Waller Street,78702,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7292820964329,30.2686462542793,"(30.2686462542793, -97.7292820964329)"
Callaway House Austin,505 W 22nd Street,78705,219,22,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,American Campus Communities,512-478-9811,https://www.americancampus.com/student-apartments/tx/austin/the-callaway-house-austin,-97.7434209056653,30.2849411232767,"(30.2849411232767, -97.7434209056653)"
Pecan Springs Commons,5802 Sweeney Circle,78723,4,4,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Green Doors,512-469-9130,http://www.greendoors.org/,-97.6799509532124,30.3051114099162,"(30.3051114099162, -97.6799509532124)"
2401 Longview,2401 Longview Street,78705,70,7,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,San Miguel Management,512-992-1206,https://2401longview.com/,-97.750486412531,30.2886898539304,"(30.2886898539304, -97.750486412531)"
Amli Eastside,1000 San Marcos Street,78702,290,29,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-476-8700,https://www.amli.com/apartments/austin/downtown/austin/eastside,-97.731273,30.268964,"(30.268964, -97.731273)"
Bridge at Cameron,9201 Cameron Road,78754,263,263,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.67552,30.348196,"(30.348196, -97.67552)"
Wilshire West (fka Princeton Apartments.),4411 Airport Boulevard,78745,90,81,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,M3 Multifamily,512-444-5700,http://www.m3multifamily.com/find-an-apartment/,-97.7133740292986,30.3011693419415,"(30.3011693419415, -97.7133740292986)"
The Paddock at Norwood,1044 Norwood Park Boulevard,78753,228,228,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Capstone Management,512-535-5748,http://paddockatnorwood.com/,-97.6915523283137,30.3365467031889,"(30.3365467031889, -97.6915523283137)"
Bell South Lamar,2717 S Lamar Boulevard,78704,327,33,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Bell Parnters,877-244-5909,https://www.bellapartmentliving.com/tx/austin/bell-south-lamar/index.aspx,-97.781071602873,30.2441179932114,"(30.2441179932114, -97.781071602873)"
Texan Shoal Creek,2502 Leon Street,78705,79,8,Multifamily,Student Housing,Project Completed,48200,55050,61950,68800,74350,Texan Properties,512-476-1976,http://www.texanproperties.net/,-97.7494596108765,30.2898505758531,"(30.2898505758531, -97.7494596108765)"
